Entry #,Pseudo-Page,Chuukese Word / Form,Part of Speech,English Definition,Examples,Notes
361,29,asókkaaló,,"v.  to make different, change	(see “sókkun”)",,Extracted from page 29
362,29,asopwaaló,,vt.  to end	(see “sopw”),,Extracted from page 29
363,29,asópwéchú,,vt.  to make successful	(see “sópwéch”),,Extracted from page 29
364,29,asopwisek,,"do something unwillingly, grudgingly asopwisekin – unwillingness of",,Extracted from page 29
365,29,asór,,sacrifice,,Extracted from page 29
366,29,asóren,,sacrifice of asóresini – to sacrifice,,Extracted from page 29
367,29,assaraú,,to speak ironically or sarcastically	(saying something you don’t mean) assawa – pass around	(from one person to another) assoun – in case of,,Extracted from page 29
368,29,assoun chék,,just in case asukul – n. educated	(see “sukul”) át – boy,,Extracted from page 29
369,29,"át, -ei, -en, -ena, -ewe",,boy,,Extracted from page 29
370,29,atai,,"v., vt.  to break	(see “ta”)",,Extracted from page 29
371,29,atakei,,n.  garden,,Extracted from page 29
372,29,atakeeni,,"v. vt to cultivate a garden atapwal – hurry, rush, hasty, urgent",,Extracted from page 29
373,29,atapwalapwal,,"hasty, urgent",,Extracted from page 29
374,30,"atapwalapwala, -ei.",,"ók*, -kem, -kemi, -er, -kich – rush	(me, you, etc.) me you	us	you them	us	(pronouns – see pg.1, #4)",,Extracted from page 30
375,30,"atapwalapwal, -ei.",,"óm*, -an, -em, -emi, -er, -ach – (my, your, etc.)  rushing",,Extracted from page 30
376,30,atapwalen,,urgency of atapwalapwalen – same as atapwalen,,Extracted from page 30
377,30,ataweei,,"to complete, overcome, resolve	(work, problem, etc.) (see “tawe”)",,Extracted from page 30
378,30,átéch,,handsome,,Extracted from page 30
379,30,átekiaatá,,to exalt	(see “tekia”),,Extracted from page 30
380,30,átekini,,"v., vt.  drag, pull, tow",,Extracted from page 30
381,30,áteneki,,"pay attention to, have consideration for	(in a compasionate way, fellow feeling)",,Extracted from page 30
382,30,átenekifichi,,"pay close attention	(same pronouns as “áteneki”) atésefálielong – v. to cause one to come in again	(see “tolong”) átettel – line up, succession, arrange		(see “tettel”)",,Extracted from page 30
383,31,átittin (1),,eat small amounts,,Extracted from page 31
384,31,átittin (2),,"reduce	(pain, illness, etc.)",,Extracted from page 31
385,31,átittini,,to reduce átittinaalo – reduced,,Extracted from page 31
386,31,atolonga,,"v., vt.  to take someone or something inside	(see “tolong”)",,Extracted from page 31
387,31,atoto,,"bring about, to have happen	(what will happen to a person)",,Extracted from page 31
388,31,atoura,,"to pass on, to take to	(see “tour”)",,Extracted from page 31
389,31,atowu,,to take outside	(see “towu”),,Extracted from page 31
390,31,attap,,touch,,Extracted from page 31
391,31,attapa,,"v., vt.  to touch",,Extracted from page 31
392,31,attau,,fishing,,Extracted from page 31
393,31,attauwen,,fishing for,,Extracted from page 31
394,31,attauwei,,"v., vt. to catch fish chón attau – fisherman",,Extracted from page 31
395,31,átterieló,,"v., vt.  to devastate, destroy, lay waste	(see “ter”)",,Extracted from page 31
396,31,attola,,v.  to look at,,Extracted from page 31
397,31,attong,,"adj. pity, feel sorry, sympathetic	(see “tong”)",,Extracted from page 31
398,32,atun,,"during, at the time of	(often interchangeable with “lupwen”)",,Extracted from page 32
399,32,aua,,we (plural)	(see “ám”),,Extracted from page 32
400,32,aúchea,,"adj.  precious, valuable",,Extracted from page 32
401,32,akkaúcheani,,appreciating	(reduplication also conveys repetitive action),,Extracted from page 32
402,32,aúchean,,"preciousness of, value of aúcheangawa – have no appreciation",,Extracted from page 32
403,32,aúcheangawen,,no appreciation for,,Extracted from page 32
404,32,aúetá,,"v., vt.  to build	(see “ú”)",,Extracted from page 32
405,32,aúféúfa,,"v., vt.  to clothe	(see “úf”)",,Extracted from page 32
406,32,aúkú,,"v., vt.  to measure	(see “úk”)",,Extracted from page 32
407,32,aúlúngátin,,third	(see “úlúngát”),,Extracted from page 32
408,32,aumwesi,,force	(see “umwes”),,Extracted from page 32
409,32,aunusaaló,,"to completely do, to make complete	(see “unus”)",,Extracted from page 32
410,32,aúrú,,"v., vt.  pull or lift to open	(as umbrella, or sail, window)",,Extracted from page 32
411,32,aúraatá,,"to open	(umbrella, tent, etc.)",,Extracted from page 32
412,32,aúrek,,"anxious, worry",,Extracted from page 32
413,32,aúrekin,,anxiousness of aurur – n. comfort,,Extracted from page 32
414,32,aururu,,"v., vt.  to comfort",,Extracted from page 32
415,33,aururun,,comfort of,,Extracted from page 33
416,33,akkaruru,,comforting	(reduplication also conveys repetitive action),,Extracted from page 33
417,33,aúseling,,v.  to listen	(see “seling”),,Extracted from page 33
418,33,aút,,finger	(also see “paw”),,Extracted from page 33
419,33,awen,,mouth of,,Extracted from page 33
420,33,aweni,,repeat what someone said,,Extracted from page 33
421,33,awa,,hour,,Extracted from page 33
422,33,awarawar,,medium	(used in a spiritistic sense),,Extracted from page 33
423,33,sou awarawar,,spiritist,,Extracted from page 33
424,33,awarawara,,cause the arrival of a spirit,,Extracted from page 33
425,34,awasélai,,"v., vt.  to be hospitable	(see “waséla”)",,Extracted from page 34
426,34,awata,,"v., vt.  to beat, strike	(see “kawet”)",,Extracted from page 34
427,34,aweiresi,,"v., vt.  to cause hardship	(see “weires”)",,Extracted from page 34
428,34,áwena,,"v., vt. to straighten	(see “wen”) áwesaaló – v., vt. to complete, finish up	(see “wes”) awóra – v., vt.  to provide	(see “wór”)",,Extracted from page 34
429,34,chá,,"appease, cool down	(anger)",,Extracted from page 34
430,34,chásefál,,reconcile,,Extracted from page 34
431,34,cháári,,"v., vt.  to calm someone down",,Extracted from page 34
432,34,cháchcháári,,calming someone down	(reduplication also conveys repetitive action),,Extracted from page 34
433,34,chááfengen,,reconcile together cháchcháák – adj. thin	(flat objects not people) chala – dollar,,Extracted from page 34
434,34,chang,,"fly	(airplanes, birds)",,Extracted from page 34
435,34,chachchang,,flying	(reduplication also conveys repetitive action),,Extracted from page 34
436,34,chanpupu,,river	(see “pu”),,Extracted from page 34
437,34,chénúpupu,,(variation of pronunciation),,Extracted from page 34
438,34,chaapap,,low	(in height of objects),,Extracted from page 34
439,34,achaapaapa,,to lower,,Extracted from page 34
440,35,achaapaapaatiw,,(same as “achaapaapa”),,Extracted from page 35
441,35,chapetiw,,v.  to bow down,,Extracted from page 35
442,35,chappen,,consequence for wrongdoing,,Extracted from page 35
443,35,charame,,flattery	(by words),,Extracted from page 35
444,35,chcha,,blood,,Extracted from page 35
445,35,chchaan,,"blood of chchech – quake, tremble, shiver",,Extracted from page 35
446,35,chchechin,,quaking of chchechin fénú – earthquake,,Extracted from page 35
447,35,chechchech,,"quaking, shaking	(reduplication also conveys repetitive action)",,Extracted from page 35
448,35,chechchechin fénú,,earthquake	(same as chchechin fénú),,Extracted from page 35
449,35,chcheei,,"to cover, covered	(table, chairs, beds)",,Extracted from page 35
450,35,chcheni,,(same as “chcheei”),,Extracted from page 35
451,35,chchim,,nod	(the head indicating “yes”),,Extracted from page 35
452,35,chchimwei,,nod	(same as “chchim”),,Extracted from page 35
453,35,chchimwechim,,nodding	(reduplication also conveys repetitive action),,Extracted from page 35
454,35,echimwechimwa,,"v., vt.  cause to nod",,Extracted from page 35
455,36,echchimwa,,"force, compel, oblige",,Extracted from page 36
456,36,chchúng,,"motivated, moved, stimulated",,Extracted from page 36
457,36,achchúngú,,"v., vt.  to motivate, to move, to stimulate",,Extracted from page 36
458,36,chchúngú,,"concerned about, interested in",,Extracted from page 36
459,36,chchúngúfengen,,concern for each other,,Extracted from page 36
460,36,éúchchúng,,"apprehensive about, anxious about	(negative)",,Extracted from page 36
461,36,éúchchúngú,,vt.  to be anxious about,,Extracted from page 36
462,36,chéchchénún,,wetness of chénún – liquid of,,Extracted from page 36
463,36,chénún mas,,tears,,Extracted from page 36
464,36,chénún oup,,mother’s milk chénúpwich – hot water chénúpat – cold water,,Extracted from page 36
465,36,chénúpupu,,river	(“chanpupu” – alternate spelling),,Extracted from page 36
466,36,chénúttú,,water well	(same as “ito”),,Extracted from page 36
467,36,achéchchénú,,v	to wet,,Extracted from page 36
468,36,chééché,,"compromise, yield	(positive or negative)",,Extracted from page 36
469,37,chééchééló,,agreed upon	(similar to chééché),,Extracted from page 37
470,37,chééchén,,n.  compromise	(agreement),,Extracted from page 37
471,37,achééchééi,,"v., vt.  yielded to, give in to	(positive or negative)",,Extracted from page 37
472,37,cheei,,"to chase, pursue",,Extracted from page 37
473,37,chechcheei,,chasing	(reduplication also conveys repetitive action),,Extracted from page 37
474,37,chéén,,width,,Extracted from page 37
475,37,chééchéén,,width of	(flat object),,Extracted from page 37
476,37,chéén taropwe,,sheet of paper chéén irá – leaf or leaves of a tree,,Extracted from page 37
477,37,chéélap,,wide,,Extracted from page 37
478,37,chééwatte,,wide	(same as “chéélap”),,Extracted from page 37
479,38,achéélapa,,to make wide achéélapaaló – to widen,,Extracted from page 38
480,38,chéélapan,,its width chéélapen – the width of,,Extracted from page 38
481,38,chéékisikis,,narrow,,Extracted from page 38
482,38,chéékukkun,,narrow	(same as “chéékisikis”),,Extracted from page 38
483,38,achéékisi,,to make narrow achéékisaaló – to make narrower,,Extracted from page 38
484,38,chénaw,,tongue,,Extracted from page 38
485,38,chénawen,,tongue of chénméngé – tongue,,Extracted from page 38
486,38,chénméngéén,,tongue of chénakánei – v. to lick,,Extracted from page 38
487,38,cheeri,,"fetch, fetches",,Extracted from page 38
488,38,chechcheeri,,fetching	(reduplication also conveys repetitive action),,Extracted from page 38
489,38,chék,,only,,Extracted from page 38
490,38,just,,(immediately),,Extracted from page 38
491,39,chem,,remember,,Extracted from page 39
492,39,chemeni,,"v. remember cheme, -to, -long – recall",,Extracted from page 39
493,39,come	in	(directionals,,"see page 1, #5)",,Extracted from page 39
494,39,chechchemeni,,remember,,Extracted from page 39
495,39,chchemenaaló,,"remembering chechchemenaaló – remembering áchechchem – remembrance, memorial",,Extracted from page 39
496,39,áchechchemen,,remembrance of,,Extracted from page 39
497,39,áchemaato,,bring back memory of,,Extracted from page 39
498,39,chen,,"love, favor, approval	(feeling toward)	(goodwill, support, approval)",,Extracted from page 39
499,39,chenin,,"in favor of, love of echeni, – v., vt. to favor, tolove",,Extracted from page 39
500,39,"echenifengenni, -kem, -kemi, -ir, -kich",,"support, favor each other",,Extracted from page 39
501,40,us	you	them	us	(pronouns,,"see pg.1, #4)",,Extracted from page 40
502,40,chengel,,adj.  joyful,,Extracted from page 40
503,40,chengelin,,joyfulness of,,Extracted from page 40
504,40,chenif,,"apply lotion, oil to one’s dry skin",,Extracted from page 40
505,40,chenifa,,v. applying to self or others,,Extracted from page 40
506,40,echenifa,,vt. give oil to someone to apply to himself chepel – n. table,,Extracted from page 40
507,40,chepelin,,table of,,Extracted from page 40
508,40,chépép,,"flat	(items like plywood, etc.)",,Extracted from page 40
509,40,chépépún,,flatness of chépépúló – got flatter,,Extracted from page 40
510,40,chepetek,,stumble	(Can be used figuratively),,Extracted from page 40
511,40,áchepetek,,"vi.  cause of stumbling, stumbled",,Extracted from page 40
512,40,áchepeteki,,"v., vt.  cause to stumble",,Extracted from page 40
513,40,áchepetekiin,,cause the stumbling of,,Extracted from page 40
514,40,chepeti,,kick,,Extracted from page 40
515,41,chéú,,"common, widespread, popular, general chéúló – widespread",,Extracted from page 41
516,41,achéúúóló,,"to expand chéúfetál – widespread, popular",,Extracted from page 41
517,41,chéúfetálin,,widespread of achéúfetálei – to circulate,,Extracted from page 41
518,41,chéúiti,,spread to,,Extracted from page 41
519,41,chéú ngeni,,(same as “chéúiti”),,Extracted from page 41
520,41,achéwú,,"chatter about	(talk, spread knowledge of something)",,Extracted from page 41
521,41,chiechi,,close friend,,Extracted from page 41
522,41,chiechi ngeni,,be a close friend to chiechien – friend of,,Extracted from page 41
523,41,chiechiéch,,close bond chiechifengen – bond together,,Extracted from page 41
524,41,chiechiéchfengen,,have a close bond together,,Extracted from page 41
525,41,chienen,,acquaintance of,,Extracted from page 41
526,41,chieneni,,"be friends, make friends",,Extracted from page 41
527,41,chikar,,"cured, get well, healed, recovered	(from sickness)",,Extracted from page 41
528,41,chikaretá,,healed chikarsefál – recovered,,Extracted from page 41
